,City,Suburb,Sales 3Q 2020,Median 3Q 2020,Sales 3Q 2021,Median 3Q 2021,Median Change,Index,Country,Sales Change
0,ADELAIDE,ADELAIDE,3.0,671000.0,5.0,1012500.0,0.5089418777943369,0,USA,2.0
1,ADELAIDE,NORTH ADELAIDE,8.0,1025000.0,9.0,1250000.0,0.21951219512195122,1,USA,1.0
2,ADELAIDE HILLS,ALDGATE,11.0,730000.0,15.0,875000.0,0.19863013698630136,2,USA,4.0
3,ADELAIDE HILLS,ASHTON,,,1.0,765000.0,,3,USA,
4,ADELAIDE HILLS,BASKET RANGE,,,,,,4,USA,
5,ADELAIDE HILLS,BELAIR,16.0,665000.0,18.0,815000.0,0.22556390977443608,5,USA,2.0
6,ADELAIDE HILLS,BRADBURY,1.0,412000.0,,,,6,USA,
7,ADELAIDE HILLS,BRIDGEWATER,17.0,525000.0,13.0,974100.0,0.8554285714285714,7,USA,-4.0
8,ADELAIDE HILLS,CAREY GULLY,,,,,,8,USA,
9,ADELAIDE HILLS,CASTAMBUL,,,,,,9,USA,
10,ADELAIDE HILLS,CHERRYVILLE,,,,,,10,USA,
11,ADELAIDE HILLS,CLELAND,,,,,,11,USA,
12,ADELAIDE HILLS,CRAFERS,3.0,602000.0,5.0,835000.0,0.38704318936877075,12,USA,2.0
13,ADELAIDE HILLS,CRAFERS WEST,4.0,1010000.0,5.0,847250.0,-0.16113861386138614,13,USA,1.0
14,ADELAIDE HILLS,DORSET VALE,,,,,,14,USA,
15,ADELAIDE HILLS,GREENHILL,1.0,600000.0,4.0,1356000.0,1.26,15,USA,3.0
16,ADELAIDE HILLS,HEATHFIELD,,,3.0,860000.0,,16,USA,
17,ADELAIDE HILLS,HORSNELL GULLY,,,,,,17,USA,
18,ADELAIDE HILLS,HUMBUG SCRUB,,,,,,18,USA,
19,ADELAIDE HILLS,IRONBANK,1.0,937000.0,,,,19,USA,
20,ADELAIDE HILLS,LONGWOOD,1.0,570000.0,,,,20,USA,
21,ADELAIDE HILLS,MARBLE HILL,,,,,,21,USA,
22,ADELAIDE HILLS,MONTACUTE,,,,,,22,USA,
23,ADELAIDE HILLS,MOUNT GEORGE,,,,,,23,USA,
24,ADELAIDE HILLS,MYLOR,,,,,,24,USA,
25,ADELAIDE HILLS,NORTON SUMMIT,2.0,706000.0,,,,25,USA,
26,ADELAIDE HILLS,PICCADILLY,,,,,,26,USA,
27,ADELAIDE HILLS,ROSTREVOR,24.0,662500.0,42.0,755000.0,0.13962264150943396,27,USA,18.0
28,ADELAIDE HILLS,SCOTT CREEK,,,,,,28,USA,
29,ADELAIDE HILLS,STIRLING,14.0,857500.0,3.0,1340000.0,0.5626822157434402,29,USA,-11.0
30,ADELAIDE HILLS,STONYFELL,3.0,925000.0,4.0,1123750.0,0.21486486486486486,30,USA,1.0
31,ADELAIDE HILLS,SUMMERTOWN,3.0,600000.0,,,,31,USA,
32,ADELAIDE HILLS,TERINGIE,,,2.0,1240000.0,,32,USA,
33,ADELAIDE HILLS,UPPER STURT,3.0,790000.0,2.0,673000.0,-0.14810126582278482,33,USA,-1.0
34,ADELAIDE HILLS,URAIDLA,5.0,537000.0,2.0,796944.0,0.48406703910614524,34,USA,-3.0
35,ADELAIDE HILLS,WATERFALL GULLY,2.0,953500.0,,,,35,USA,
36,ADELAIDE HILLS,WOODFORDE,2.0,737500.0,6.0,930000.0,0.26101694915254237,36,USA,4.0
37,BURNSIDE,AULDANA,3.0,1060000.0,3.0,1620000.0,0.5283018867924528,37,USA,0.0
38,BURNSIDE,BEAUMONT,8.0,917500.0,15.0,1742000.0,0.8986376021798365,38,USA,7.0
39,BURNSIDE,BEULAH PARK,5.0,790000.0,5.0,977500.0,0.23734177215189872,39,USA,0.0
40,BURNSIDE,BURNSIDE,8.0,825000.0,10.0,1000000.0,0.21212121212121213,40,USA,2.0
41,BURNSIDE,DULWICH,5.0,920000.0,6.0,1565000.0,0.7010869565217391,41,USA,1.0
42,BURNSIDE,EASTWOOD,,,3.0,1000000.0,,42,USA,
43,BURNSIDE,ERINDALE,4.0,1529000.0,4.0,1353000.0,-0.11510791366906475,43,USA,0.0
44,BURNSIDE,FREWVILLE,,,1.0,970000.0,,44,USA,
45,BURNSIDE,GLEN OSMOND,8.0,948000.0,7.0,1185000.0,0.25,45,USA,-1.0
46,BURNSIDE,GLENSIDE,4.0,934750.0,8.0,1325000.0,0.4174913078363199,46,USA,4.0
47,BURNSIDE,GLENUNGA,3.0,1145000.0,9.0,1500000.0,0.31004366812227074,47,USA,6.0
48,BURNSIDE,HAZELWOOD PARK,9.0,845000.0,7.0,1250000.0,0.47928994082840237,48,USA,-2.0
49,BURNSIDE,HORSNELL GULLY,,,,,,49,USA,
50,BURNSIDE,KENSINGTON GARDENS,8.0,1065500.0,3.0,1122000.0,0.05302674800563116,50,USA,-5.0
